chromosome	start	end	gene	log2	baf	cn	cn1	cn2	depth	probes	weight	sem	ci_lo	ci_hi	pi_lo	pi_hi
chr3	128815393	128986003	MIR12124,LOC653712,ACAD9,CFAP92	0.0113621	0.41523	2	1	1	33.8707	236	199.081	0.0199294	-0.0286452	0.0539707	-0.661516	0.550751
chr3	128986003	129896161	CFAP92,EFCC1,GP9,ISY1-RAB43,CNBP,COPG1,HMCES,H1-10,H1-10-AS1,RPL32P3,EFCAB12,MBD4,IFT122,RHO,H1-8,PLXND1,PLXND1,TMCC1,TMCC1,TMCC1-AS1	0.257468	0.418605	3	2	1	42.1331	1240	1045.83	0.00892732	0.241384	0.274444	-0.291241	0.869651
chr3	129896161	130701274	TMCC1-AS1,TRH,-,ALG1L2,FAM86HP,LINC02021,COL6A4P2,COL6A5,COL6A6,PIK3R4	-0.069706	0.37931	2	1	1	31.3779	1086	948.781	0.0089682	-0.0875452	-0.0562986	-0.727272	0.454762
chr3	130701274	130761199	PIK3R4	0.250829	0.426407	3	2	1	44.9465	79	68.5027	0.0300562	0.204835	0.297672	-0.176934	0.729281
chr3	130761199	130888804	ATP2C1	-0.00503852	0.421053	2	1	1	35.1235	165	147.244	0.0189368	-0.0416338	0.0319448	-0.446466	0.380127
chr3	130888804	131156000	ATP2C1,ASTE1,NEK11	0.18383	0.419167	2	1	1	41.0903	344	311.004	0.0126258	0.161511	0.207765	-0.328572	0.616315
chr3	131156000	131343531	NEK11	-0.0573321	0.382353	2	1	1	32.3102	238	211.817	0.0156808	-0.0868957	-0.0212514	-0.54663	0.333393
chr3	131343531	131506386	NEK11,LOC339874,NUDT16,MRPL3	0.0612891	0.405627	2	1	1	35.6464	216	192.674	0.0164446	0.0344189	0.0999227	-0.39426	0.515073
chr3	131506386	132223374	CPNE4	-0.0727337	0.392857	2	1	1	31.1604	951	847.231	0.00830165	-0.0885564	-0.0572021	-0.577066	0.369547
chr3	132223374	134523091	ACP3,DNAJC13,NPHP3-ACAD11,NPHP3-AS1,NPHP3-AS1,TMEM108,BFSP2,BFSP2-AS1,CDV3,TOPBP1,TF,SRPRB,RAB6B,RAB6B,C3orf36,SLCO2A1,LINC02000,RYK,LINC02004,AMOTL2,MIR4788,ANAPC13,CEP63	0.122229	0.413793	2	1	1	37.8825	3028	2665.47	0.00563916	0.111677	0.129552	-0.481039	0.773464
chr3	134523091	135898551	CEP63,KY,EPHB1	-0.145311	0.375	2	1	1	28.0185	1830	1535.4	0.00678842	-0.156129	-0.133448	-0.728351	0.370338
chr3	135898551	137033604	PPP2R3A,MSL2,PCCB,STAG1,STAG1,STAG1,SLC35G2,NCK1-DT,NCK1,NCK1,IL20RB,IL20RB	0.0710775	0.413793	2	1	1	39.5608	1489	1223.16	0.00689815	0.0598122	0.0835814	-0.455942	0.578879
chr3	137033604	138141163	-,SOX14,LINC01210,CLDN18,DZIP1L,A4GNT	-0.100506	0.4	2	1	1	31.0897	1408	1222.37	0.00768985	-0.113581	-0.086523	-0.753833	0.375538
chr3	138141163	138419639	DBR1,ARMC8,NME9,MRAS	0.132309	0.419355	2	1	1	38.7552	384	325.498	0.013086	0.106109	0.156797	-0.339126	0.670979
chr3	138419639	141219908	ESYT3,CEP70,FAIM,PIK3CB,LINC01391,FOXL2,FOXL2NB,PRR23A,PRR23B,PRR23C,BPESC1,PISRT1,MRPS22,COPB2,LOC100507291,NMNAT3,NMNAT3,CLSTN2,CLSTN2,TRIM42,SLC25A36,SPSB4,-	-0.0581125	0.387097	2	1	1	31.4377	3712	3132.48	0.00465363	-0.0661736	-0.0484936	-0.610813	0.464008
chr3	141219908	143659216	PXYLP1,PXYLP1,ZBTB38,ZBTB38,RASA2,RASA2,LINC02618,RNF7,GRK7,ATP1B3,TFDP2,GK5,XRN1,XRN1,ATR,ATR,PLS1,TRPC1,PCOLCE2,PCOLCE2,LOC100507389,PAQR9,PAQR9-AS1,U2SURP,U2SURP,CHST2,SLC9A9	0.172291	0.416667	2	1	1	40.3448	3235	2788.86	0.00536938	0.157412	0.181229	-0.376085	0.861713
chr3	143659216	143969417	SLC9A9	-0.0086047	0.416667	2	1	1	33.0393	412	369.081	0.0133981	-0.0317652	0.0132119	-0.569073	0.438788
chr3	143969417	143978582	DIPK2A	0.480269	0.551724	3	2	1	51.8208	12	10.6256	0.0720091	0.337397	0.598149	0.124282	0.837291
chr3	143979287	146049879	DIPK2A	-0.000998388	0.408163	2	1	1	35.4281	2428	2211.14	0.00479631	-0.0117496	0.00653496	-0.557278	0.402717
chr3	146049879	146286055	LNCSRLR,PLOD2,PLOD2,PLSCR4	0.187263	0.410256	2	1	1	41.8331	285	263.048	0.0152356	0.161977	0.21581	-0.352768	0.695339
chr3	146287465	146503195	PLSCR2	-0.0116412	0.423077	2	1	1	35.2733	252	223.049	0.0182482	-0.0447999	0.020574	-0.593612	0.513978
chr3	146503195	146904342	PLSCR1,PLSCR5	0.0841508	0.428571	2	1	1	38.5186	459	419.549	0.0122815	0.0587396	0.106569	-0.410664	0.634335
chr3	146904342	148308001	LINC02010,ZIC4,ZIC1,LOC440982,LINC02032,LINC02046	-0.0165126	0.405405	2	1	1	34.8588	1655	1508.29	0.00599749	-0.0252678	-0.00664019	-0.586403	0.387416
chr3	148308001	148759908	LINC02046,AGTR1	0.114864	0.425266	2	1	1	38.0289	540	493.103	0.010449	0.0958991	0.13574	-0.445067	0.551958
chr3	148759908	148820538	-	-0.0396353	0.392857	2	1	1	34.0497	74	65.8709	0.0292448	-0.0841193	0.00902925	-0.702418	0.326758
chr3	148820538	149985202	CPB1,CPA3,GYG1,HLTF,HLTF-AS1,HPS3,CP,CP,TM4SF18,TM4SF1,TM4SF1-AS1,-,TM4SF4,WWTR1,WWTR1,COMMD2,ANKUB1,RNF13,RNF13,PFN2,LOC646903,TMEM183B	0.25324	0.425	3	2	1	42.7537	1573	1381.29	0.00676593	0.242789	0.26729	-0.253769	0.787057
chr3	149985202	150219967	LOC105374313	0.0045431	0.411765	2	1	1	33.1937	321	286.183	0.0129293	-0.0164918	0.024583	-0.482011	0.491682
chr3	150219967	150931315	LINC01213,LINC01214,LINC01214,TSC22D2,SERP1,EIF2A,SELENOT,ERICH6,ERICH6-AS1,LOC101928105,SIAH2,-,MINDY4B,CLRN1	0.258039	0.423077	3	2	1	44.1321	947	812.666	0.0089019	0.24494	0.275799	-0.274004	0.828859
chr3	150931315	151042000	CLRN1,CLRN1-AS1	-0.0155657	0.409091	2	1	1	32.8514	151	135.447	0.0188246	-0.0545209	0.0161797	-0.467206	0.378757
chr3	151042000	151416356	CLRN1-AS1,MED12L	0.198411	0.433648	2	1	1	40.5214	504	457.44	0.0111068	0.177685	0.214483	-0.22057	0.697207
chr3	151416356	151739952	MED12L,IGSF10,MIR5186,AADACL2	-0.00799645	0.407407	2	1	1	35.2082	410	362.362	0.0135876	-0.0327242	0.0158636	-0.567831	0.442851
chr3	151739952	153295187	AADACL2,AADACL2-AS1,LOC101928166,MBNL1,MBNL1,P2RY1,RAP2B	0.181695	0.42366	2	1	1	41.9534	1996	1769.28	0.00601248	0.173464	0.195331	-0.366097	0.711355
chr3	153295187	154026980	LINC02006,ARHGEF26-AS1	-0.0119393	0.40625	2	1	1	35.3459	902	798.72	0.00837554	-0.0247406	0.00275647	-0.596888	0.37649
chr3	154026980	158824520	ARHGEF26-AS1,ARHGEF26-AS1,ARHGEF26,DHX36,GPR149,GPR149,MME,MME,LINC01487,STRIT1,PLCH1,C3orf33,C3orf33,SLC33A1,GMPS,KCNAB1,KCNAB1,SSR3,TIPARP-AS1,TIPARP,LINC00886,LEKR1,LINC00880,CCNL1,VEPH1,VEPH1,SLC66A1L,SHOX2,RSRC1,LOC100996447,MLF1,GFM1,RARRES1,MFSD1	0.0804899	0.413043	2	1	1	37.1268	6140	5428.37	0.00335624	0.0737711	0.0856129	-0.44275	0.585356
chr3	158824520	159760763	MFSD1,IQCJ-SCHIP1	0.00493305	0.4	2	1	1	33.141	1202	1076.16	0.00733575	-0.00865277	0.0197097	-0.52698	0.438865
chr3	159760763	161279338	IQCJ-SCHIP1,IQCJ-SCHIP1,IL12A-AS1,C3orf80,TRIM59-IFT80,TRIM59-IFT80,TRIM59-IFT80,KPNA4,ARL14,PPM1L,B3GALNT1,NMD3	0.148166	0.423077	2	1	1	39.2515	2010	1778.26	0.00638748	0.134765	0.160304	-0.440606	0.688349
chr3	161279338	167673709	SPTSSB,LINC02067,OTOL1,LINC01192,MIR1263,LINC01324,SI,SLITRK3,LINC01322,BCHE,LOC105374194,ZBBX,LINC01327,SERPINI2,WDR49	-0.00628333	0.415094	2	1	1	36.1256	7021	6348.96	0.00289972	-0.0108852	-0.00163502	-0.529421	0.435727
chr3	167673709	178205033	PDCD10,SERPINI1,SERPINI1,LRRC77P,GOLIM4,EGFEM1P,LINC02082,MECOM,TERC,ACTRT3,MYNN,MYNN,LRRC34,LRRIQ4,LRRC31,SAMD7,LOC100128164,SEC62,GPR160,PHC3,PRKCI,SKIL,CLDN11,SLC7A14,SLC7A14-AS1,RPL22L1,EIF5A2,SLC2A2,TNIK,PLD1,PLD1,TMEM212,TMEM212-AS1,TMEM212-AS1,FNDC3B,FNDC3B,GHSR,TNFSF10,TNFSF10,LINC02068,NCEH1,NCEH1,ECT2,ECT2,SPATA16,NLGN1,NAALADL2,NAALADL2,MIR548I1,MIR7977,LINC01208,LINC01209,TBL1XR1,LINC00501,-,LINC00578,LINC00578,LINC02015,LINC02015	0.106917	0.418605	2	1	1	38.5721	13493	12053.2	0.00227108	0.103233	0.111102	-0.408705	0.652137
chr3	178205033	178221248	-	-0.236862	0.315789	2	1	1	29.4134	22	20.0722	0.0557149	-0.341498	-0.134964	-0.657468	0.130945
chr3	178221248	178455309	LINC01014	0.111704	0.411765	2	1	1	37.9821	295	271.556	0.0120266	0.0879488	0.132623	-0.308955	0.487433
chr3	178455309	179015081	LINC01014,KCNMB2-AS1	-0.0161928	0.394737	2	1	1	33.8754	727	656.699	0.00939783	-0.0327095	-0.00106668	-0.627369	0.40907
chr3	179015081	179839229	ZMAT3,LOC101928739,PIK3CA,KCNMB3,ZNF639,MFN1,GNB4,ACTL6A,MRPL47,NDUFB5,USP13,USP13,PEX5L	0.197959	0.410714	2	1	1	41.8346	1097	939.494	0.00822624	0.179795	0.21083	-0.331025	0.76917
chr3	179839229	180909422	PEX5L,PEX5L,LINC02053,TTC14,CCDC39,LOC101928882	-0.0323201	0.411011	2	1	1	34.0766	1387	1245.76	0.00639461	-0.0445073	-0.0211636	-0.545969	0.386982
chr3	180909422	180992612	FXR1,DNAJC19	0.174871	0.584013	2	1	1	42.5368	114	100.482	0.0175546	0.14483	0.20982	-0.148807	0.519998
chr3	180992612	182677568	SOX2-OT,LINC01206,LINC01994,LINC01995	-0.038426	0.403741	2	1	1	33.0171	2206	1952.02	0.00514383	-0.0470574	-0.0294902	-0.547841	0.402764
chr3	182677568	184023417	ATP11B,DCUN1D1,MCCC1,LAMP3,MCF2L2,LINC00888,KLHL6,KLHL24,YEATS2,MAP6D1,PARL,MIR4448,ABCC5	0.0962157	0.413793	2	1	1	38.0045	1825	1547.7	0.00663703	0.083129	0.110563	-0.454988	0.655151
chr3	184023417	184121413	HTR3D,HTR3C,HTR3E-AS1,HTR3E	-0.153674	0.396429	2	1	1	31.4354	136	110.657	0.0206856	-0.18999	-0.121053	-0.688141	0.256887
chr3	184121413	184191208	EIF2B5,DVL3,AP2M1,ABCF3	0.271823	0.413793	3	2	1	42.3695	96	79.9333	0.0311566	0.20174	0.341474	-0.371025	0.843125
chr3	184191208	184296253	ABCF3,VWA5B2,ALG3,EEF1AKMT4-ECE2	-0.0466	0.37931	2	1	1	33.1979	140	111.429	0.0258822	-0.103834	-0.00363774	-0.664969	0.585175
chr3	184296253	185840913	PSMD2,EIF4G1,FAM131A,CLCN2,POLR2H,THPO,CHRD,LINC02054,LINC01840,EPHB3,MAGEF1,LOC107986163,LINC02069,VPS8,C3orf70,EHHADH-AS1,EHHADH,MAP3K13,TMEM41A,LIPH,LIPH,SENP2,IGF2BP2	0.105658	0.409091	2	1	1	37.5994	2120	1799.79	0.00625079	0.0954014	0.119059	-0.461597	0.679308
chr3	185840913	185881803	-	-0.0800036	0.318841	2	1	1	35.6471	57	44.0862	0.0250334	-0.12343	-0.0220658	-0.474486	0.210154
chr3	185881803	186601611	TRA2B,NMRAL2P,ETV5,ETV5,DGKG,DGKG,LINC02020,LINC02052,CRYGS,TBCCD1,TBCCD1,DNAJB11	0.151459	0.408163	2	1	1	37.3318	997	831.386	0.0105512	0.134184	0.173539	-0.432667	0.752395
chr3	186601611	186713001	AHSG,FETUB,HRG	-0.15642	0.384615	2	1	1	28.7111	156	134.204	0.0225508	-0.197575	-0.119554	-0.666857	0.348747
chr3	186713001	187384163	KNG1,EIF4A2,RFC4,LINC02043,ADIPOQ,ADIPOQ-AS1,ST6GAL1,RPL39L,LOC101929106,MASP1,LOC101929130,RTP4	0.0394142	0.40625	2	1	1	34.1454	921	771.734	0.00979454	0.0212928	0.0577084	-0.526456	0.577757
chr3	187384163	187719039	LINC02041,SST,RTP2,LOC100131635	-0.092357	0.380131	2	1	1	30.2661	452	392.23	0.0134616	-0.110393	-0.0726195	-0.690481	0.399366
chr3	187719039	192138699	LOC100131635,BCL6,BCL6,LINC01991,LPP-AS2,LPP,LPP,TPRG1-AS1,TPRG1-AS1,-,TPRG1,TP63,TP63,P3H2,P3H2,P3H2-AS1,CLDN16,TMEM207,IL1RAP,GMNC,SNAR-I,OSTN,UTS2B,UTS2B,CCDC50,CCDC50,LINCR-0002	0.126707	0.416667	2	1	1	38.6303	5764	5184.81	0.00355494	0.12016	0.134815	-0.411113	0.662613
chr3	192138699	192815501	FGF12,MB21D2	-0.0162019	0.413793	2	1	1	33.7702	894	815.727	0.00761781	-0.0326395	0.00250423	-0.478063	0.430462
chr3	192815501	192993866	MB21D2,-	0.374889	0.425	3	2	1	46.8622	238	202.048	0.0200991	0.329866	0.41153	-0.195256	1.02563
chr3	192993866	193458463	PLAAT1,ATP13A5,ATP13A4	-0.0526123	0.366667	2	1	1	31.6234	603	535.334	0.00972431	-0.0702305	-0.0361554	-0.556303	0.394623
chr3	193458463	193911779	ATP13A4,ATP13A4-AS1,OPA1,LINC02038	0.206635	0.42	3	2	1	39.8225	608	540.855	0.0119062	0.17991	0.225456	-0.343001	0.801395
chr3	193911779	193935045	-	-0.137187	0.25	2	2	0	28.6105	33	29.4338	0.0445276	-0.225305	-0.0572588	-0.633241	0.237391
chr3	193935045	195473360	LINC02026,LINC02028,HES1,LINC02036,LINC02037,LINC00887,CPN2,LRRC15,GP5,ATP13A3,LINC00884,TMEM44-AS1,TMEM44,TMEM44,LSG1,FAM43A,LINC01968,LINC01968,XXYLT1,XXYLT1,XXYLT1,ACAP2,ACAP2	0.270852	0.428571	3	2	1	41.8822	2098	1794.66	0.00725158	0.257768	0.282158	-0.338332	0.951521
chr3	195473360	195507200	-	-0.269088	0.181818	1	1	0	28.2443	47	39.1821	0.0535409	-0.357251	-0.179196	-1.00283	0.378891
chr3	195507200	196291867	PPP1R2,PPP1R2,APOD,LOC105374297,SDHAP2,MIR570HG,MUC20,MUC20,MUC4,LINC01983,TNK2,TNK2-AS1,SDHAP1,SDHAP1,TFRC,LINC00885,LINC00885,ZDHHC19,SLC51A,PCYT1A,TCTEX1D2	0.255625	0.382353	3	2	1	44.1247	1007	798.386	0.0113105	0.233314	0.276389	-0.397564	1.04202
chr3	196291867	196556948	TCTEX1D2,TM4SF19-TCTEX1D2,UBXN7,UBXN7-AS1,RNF168,SMCO1,WDR53	-0.00180549	0.403509	2	1	1	36.8297	365	296.595	0.0135507	-0.037152	0.01771	-0.419282	0.49933
chr3	196556948	196807929	WDR53,FBXO45,LINC01063,NRROS,CEP19,PIGX,PAK2	0.202306	0.414444	3	2	1	41.9892	351	282.736	0.0148848	0.183198	0.224835	-0.393277	0.686689
chr3	196807929	196924254	PAK2,SENP5	-0.0262379	0.421053	2	1	1	36.0958	159	127.922	0.0215983	-0.0653794	0.0108602	-0.560663	0.563717
chr3	196924254	197562986	SENP5,NCBP2,NCBP2AS2,PIGZ,MELTF,DLG1,DLG1-AS1,LINC02012,BDH1	0.159067	0.406829	2	1	1	39.8432	855	734.496	0.00931898	0.143562	0.175769	-0.381518	0.68154
chr3	197562986	197578496	BDH1	-0.231148	0.68	2	1	1	28.866	22	20.0465	0.0553605	-0.344346	-0.110875	-0.595124	0.283657
chr3	197578496	197964838	LOC220729,RUBCN,FYTTD1,LRCH3,LRCH3,IQCG,IQCG,LMLN	0.239075	0.4	3	2	1	42.9829	535	439.712	0.013787	0.215881	0.266398	-0.345176	0.950455
chr3	197964838	198140383	LMLN,ANKRD18DP	-0.00208764	0.333333	2	1	1	34.5107	220	191.649	0.0175875	-0.024096	0.0271629	-0.596212	0.42367
chr3	198140383	198192553	FAM157A	0.231218	0.344828	3	2	1	39.7946	71	60.0009	0.0337478	0.159185	0.303352	-0.260085	0.727758
chr3	198192553	198235559	FAM157A	-0.357429		1			24.729	57	46.9156	0.0462231	-0.44228	-0.27165	-1.12689	0.194809
chr4	12115	69231	ZNF595	0.370882	0.191176	3	2	1	54.8568	44	27.3622	0.0456745	0.281398	0.460757	-0.286475	0.864165
chr4	69231	466225	ZNF595,ZNF718,ZNF876P,ZNF732,ZNF141,ABCA11P	-0.144681	0.388889	2	1	1	32.3138	500	420.396	0.0130333	-0.169715	-0.124491	-0.741643	0.373985
chr4	466225	538855	ABCA11P,ZNF721,PIGG	0.0675728	0.407407	2	1	1	34.7591	100	85.2953	0.032213	0.00349804	0.134886	-0.464805	0.732472
chr4	538855	670716	PIGG,TMEM271,LOC105374338,PDE6B	-0.199156	0.37931	2	1	1	27.8361	182	153.935	0.0241209	-0.240291	-0.148104	-0.843807	0.34737
chr4	670716	788475	PDE6B,ATP5ME,MYL5,SLC49A3,PCGF3,LOC100129917,CPLX1	0.121427	0.414634	2	1	1	37.2008	155	133.384	0.025781	0.0701791	0.163621	-0.495412	0.795484
chr4	788475	1162904	CPLX1,GAK,TMEM175,DGKQ,SLC26A1,IDUA,FGFRL1,RNF212,LOC105374344	-0.106319	0.391304	2	1	1	30.0853	497	421.628	0.017224	-0.135453	-0.0779897	-0.711167	0.93886
chr4	1162904	1228482	SPON2,CTBP1-AS,CTBP1	0.192586	0.404762	2	1	1	36.556	89	78.0421	0.0350052	0.128221	0.260067	-0.31732	0.963637
chr4	1228482	1674200	CTBP1,CTBP1-DT,MAEA,UVSSA,UVSSA,NKX1-1,FAM53A	-0.185063	0.387097	2	1	1	27.9257	581	485.765	0.0145202	-0.214519	-0.160111	-0.795695	0.607341
chr4	1674200	2024583	FAM53A,SLBP,TMEM129,TACC3,FGFR3,LETM1,NSD2,NELFA	-0.0139845	0.406829	2	1	1	32.7336	473	392.538	0.0155665	-0.0458516	0.0199391	-0.617312	0.62527
chr4	2024583	2225507	C4orf48,NAT8L,POLN	-0.190701	0.383484	2	1	1	28.7457	270	219.478	0.0199186	-0.229763	-0.160198	-0.85296	0.343594
chr4	2225507	2267101	POLN,MXD4	0.131388	0.422619	2	1	1	35.9847	55	48.9171	0.0330623	0.0519284	0.179552	-0.299601	0.71431
chr4	2267101	2652734	ZFYVE28,ZFYVE28,CFAP99,RNF4,FAM193A	-0.0847707	0.391304	2	1	1	31.9592	535	432.649	0.0142708	-0.108812	-0.0560537	-0.69236	0.548492
chr4	2652734	3416949	FAM193A,TNIP2,SH3BP2,ADD1,ADD1,MFSD10,NOP14-AS1,NOP14,GRK4,GRK4,HTT-AS,HTT,HTT,HTT,MSANTD1,RGS12	0.114092	0.414214	2	1	1	36.8831	1054	892.216	0.0101509	0.0941773	0.128123	-0.492935	0.768707
chr4	3416949	3887182	RGS12,HGFAC,DOK7,LRPAP1,LINC00955,LINC02171,ADRA2C	-0.184863	0.366667	2	1	1	26.8271	651	542.484	0.0139406	-0.211861	-0.163766	-0.763939	0.639894
chr4	3887182	3959091	FAM86EP	0.239124	0.411879	3	2	1	41.7457	102	82.5797	0.0276691	0.18823	0.29436	-0.316689	0.76084
chr4	3959091	4476558	OTOP1,TMEM128,LYAR,ZBTB49,NSG1,STX18	-0.149567	0.36	2	1	1	29.5606	675	574.266	0.0134035	-0.172041	-0.124331	-0.841249	0.451603
chr4	4476558	4544943	STX18,STX18-AS1	0.151841	0.5625	2	1	1	37.2824	97	87.2041	0.0218515	0.118154	0.185711	-0.227926	0.541601
chr4	4544943	6267247	STX18-AS1,LOC101928279,LINC01396,MSX1,LOC101928306,CYTL1,STK32B,LINC01587,EVC2,EVC,CRMP1,MIR378D1,C4orf50,JAKMIP1,LINC02495,LINC02495	-0.247422	0.333333	2	1	1	25.9459	2330	1883.47	0.00682907	-0.261462	-0.234577	-0.862658	0.34445
chr4	6267247	6294742	WFS1	0.295732	0.384615	3	2	1	41.2097	39	35.7094	0.0593751	0.154839	0.394073	-0.598398	1.02664
chr4	6294742	6686719	WFS1,PPP2R2C,MAN2B2,MRFAP1,LINC02482,LOC93622	-0.194597	0.35	2	1	1	27.0486	537	423.253	0.015354	-0.228613	-0.160209	-0.824	0.734297
chr4	6686719	7077992	LINC02481,S100P,MRFAP1L1,BLOC1S4,KIAA0232,KIAA0232,TBC1D14,LOC100129931,TADA2B,GRPEL1	0.282614	0.425532	3	2	1	43.8652	538	435.532	0.0148358	0.250952	0.307382	-0.365857	0.975087
chr4	7077992	7758313	LINC02447,SORCS2,AFAP1-AS1	-0.256184	0.363636	1	1	0	24.6641	941	728.399	0.0114889	-0.274195	-0.233553	-0.844669	0.496287
chr4	7758313	7918347	AFAP1-AS1,AFAP1	0.300547	0.412698	3	2	1	38.8205	224	194.658	0.0207868	0.248931	0.335914	-0.277743	0.925561
chr4	7918347	8156635	AFAP1,LOC389199,ABLIM2	-0.0300514	0.384615	2	1	1	31.5354	335	274.279	0.0203647	-0.0678709	0.0204357	-0.753513	0.859022
chr4	8156635	8203870	ABLIM2,SH3TC1	0.379483	0.420807	3	2	1	44.2761	65	54.8477	0.0334158	0.316934	0.445185	-0.0524583	0.980394
chr4	8203870	8402679	SH3TC1,HTRA3,LINC02517,ACOX3	-0.0029595	0.4	2	1	1	31.6413	276	234.955	0.0224566	-0.0495197	0.0410291	-0.630764	1.01279
chr4	8402679	8483048	ACOX3,TRMT44	0.403309	0.416667	3	2	1	46.5894	113	95.8163	0.0255174	0.346277	0.458059	-0.0663156	0.913715
chr4	8483048	8509838	-	-0.0873543	0.4	2	1	1	32.1465	38	32.2615	0.0481721	-0.16515	0.00215301	-0.633389	0.376086
chr4	8509838	8601488	GPR78,GPR78,CPZ	0.403309	0.434783	3	2	1	50.0418	128	102.893	0.0260121	0.34982	0.460234	-0.156705	0.895087
chr4	8601488	9212951	CPZ,HMX1,USP17L10	-0.285454	0.304348	1	1	0	25.7009	738	606.734	0.0130189	-0.308876	-0.261959	-0.926156	0.352724
chr4	9212951	9370150	USP17L18,USP17L12,USP17L13,USP17L17,USP17L19,USP17L11,USP17L20,USP17L5,USP17L6P	0.249887	0.725926	3	2	1	48.6735	100	59.7996	0.0340056	0.179005	0.31969	-0.364141	0.92635
chr4	9370150	10003940	DEFB131A,MIR548I2,-,DRD5,SLC2A9	-0.241149	0.318182	2	1	1	27.2561	880	745.338	0.0111881	-0.261994	-0.217315	-0.914452	0.330834
chr4	10003940	10126609	SLC2A9,WDR1	0.162823	0.957447	2	2	0	35.301	173	153.07	0.0232397	0.12521	0.199353	-0.331329	0.753172
chr4	10126609	14993892	-,ZNF518B,CLNK,CLNK,MIR572,HS3ST1,LINC02360,MIR12113,LINC02270,RAB28,LINC01097,NKX3-2,LINC01096,BOD1L1,LINC01182,LINC01182,LINC01085,LINC00504,CPEB2-DT,CPEB2-DT	-0.119928	0.387097	2	1	1	29.9201	6368	5617.58	0.00338196	-0.125233	-0.114594	-0.685763	0.360782
chr4	14993892	15067917	CPEB2-DT,CPEB2	0.206577	0.56119	3	2	1	43.9974	86	79.233	0.0215245	0.165784	0.239641	-0.190553	0.521899
chr4	15067917	15216671	CPEB2,C1QTNF7-AS1	-0.0716023	0.407407	2	1	1	31.499	188	167.565	0.0196186	-0.105161	-0.0379474	-0.645943	0.367884
chr4	15216671	16240323	C1QTNF7-AS1,C1QTNF7,CC2D2A,FBXL5,FBXL5,FAM200B,BST1,BST1,CD38,FGFBP1,FGFBP2,PROM1,TAPT1,TAPT1-AS1	0.102538	0.412698	2	1	1	36.3806	1387	1234.43	0.00738243	0.0904556	0.119669	-0.425419	0.623722
chr4	16240323	16484956	TAPT1-AS1	-0.149287	0.375	2	1	1	28.9739	322	286.232	0.0140154	-0.173462	-0.128391	-0.706644	0.272976
chr4	16484956	16926988	LDB2	0.058281	0.405405	2	1	1	32.7935	604	531.82	0.0107796	0.0378003	0.0773007	-0.414892	0.56863
chr4	16926988	17471949	LINC02493,SNORA75B	-0.113218	0.391304	2	1	1	29.8679	740	651.28	0.00994492	-0.128924	-0.0944137	-0.632985	0.393587
chr4	17471949	17648197	QDPR,CLRN2,LAP3,MED28,FAM184B	0.0946458	0.415094	2	1	1	35.7518	245	207.115	0.0165126	0.0657136	0.121275	-0.473356	0.587366
chr4	17648197	17766636	FAM184B	-0.18361	0.375	2	1	1	29.437	161	136.578	0.0225261	-0.215755	-0.136889	-0.75621	0.274249
chr4	17766636	18066964	FAM184B,DCAF16,NCAPG,LCORL	0.0774957	0.413043	2	1	1	39.109	370	335.18	0.0125608	0.0545204	0.101355	-0.452477	0.520697
chr4	18066964	20246807	-	-0.019179	0.40625	2	1	1	34.3185	2755	2504.72	0.00476234	-0.0284638	-0.00882497	-0.572813	0.39917
chr4	20246807	20627505	SLIT2	0.0641683	0.4	2	1	1	36.2654	478	445.214	0.00996091	0.0443557	0.0775551	-0.357635	0.499642
chr4	20627505	24506385	PACRGL,KCNIP4,LOC100505912,ADGRA3,GBA3,PPARGC1A	-0.0671247	0.4	2	1	1	31.6438	5131	4631.32	0.00338288	-0.0730678	-0.0605496	-0.577893	0.382123
chr4	24506385	24865932	MIR573,DHX15,SOD3,CCDC149	0.10202	0.409091	2	1	1	36.6558	499	441.222	0.0117617	0.0833061	0.12023	-0.408012	0.66957
chr4	24865932	25085186	CCDC149,LGI2	-0.0438136	0.392081	2	1	1	29.9069	301	263.152	0.0157739	-0.072832	-0.0212271	-0.615163	0.455473
chr4	25085186	25190935	SEPSECS,SEPSECS-AS1	0.180251	0.589775	2	1	1	39.174	142	123.559	0.0252711	0.140769	0.229784	-0.362058	0.818217
chr4	25190935	25230415	SEPSECS-AS1	-0.130754	0.432234	2	1	1	31.7674	55	49.1151	0.0300168	-0.191011	-0.0938431	-0.682677	0.227234
chr4	25230415	25401728	PI4K2B,ZCCHC4,ANAPC4	0.119198	0.414634	2	1	1	39.5649	232	199.903	0.0165376	0.0858965	0.147001	-0.352035	0.598296
chr4	25401728	25713336	ANAPC4,LOC101929161,SLC34A2	-0.203495	0.375	2	1	1	30.3264	437	366.011	0.0126952	-0.229824	-0.180031	-0.777192	0.318904
chr4	25713336	26433135	SEL1L3,SMIM20,RBPJ,RBPJ	0.0585498	0.404255	2	1	1	35.076	1003	862.545	0.00856672	0.0448157	0.0780567	-0.49055	0.585256
chr4	26433135	26718658	RBPJ,CCKAR,TBC1D19	-0.0595349	0.389566	2	1	1	33.7869	344	298.705	0.0151361	-0.0906186	-0.0369911	-0.632208	0.412007
chr4	26718658	27026741	TBC1D19,STIM2-AS1,STIM2,STIM2	0.111948	0.418011	2	1	1	38.5692	393	357.753	0.0132435	0.0899346	0.136864	-0.444319	0.609298
